iter	Passed	Remaining
403	10913	16099
404	10938	16069
405	10964	16041
406	10990	16012
407	11016	15984
408	11043	15957
409	11066	15924
410	11093	15897
411	11117	15866
412	11141	15835
413	11169	15810
414	11193	15779
415	11222	15755
416	11237	15711
417	11265	15685
418	11295	15662
419	11326	15641
420	11360	15624
421	11389	15599
422	11414	15570
423	11440	15541
424	11469	15517
425	11493	15487
426	11506	15441
427	11530	15409
428	11554	15378
429	11573	15341
430	11601	15316
431	11630	15291
432	11654	15261
433	11679	15231
434	11703	15200
435	11729	15172
436	11758	15148
437	11786	15123
438	11815	15098
439	11844	15075
440	11869	15045
441	11896	15018
442	11920	14987
443	11947	14961
444	11975	14935
445	11998	14904
446	12025	14877
447	12055	14853
448	12085	14831
449	12115	14808
450	12140	14778
451	12166	14750
452	12198	14729
453	12229	14707
454	12257	14682
455	12286	14657
456	12319	14638
457	12349	14614
458	12377	14588
459	12402	14559
460	12430	14533
461	12464	14514
462	12492	14489
463	12526	14470
464	12555	14445
465	12584	14420
466	12609	14392
467	12635	14363
468	12651	14323
469	12679	14297
470	12708	14273
471	12737	14249
472	12768	14226
473	12804	14208
474	12834	14185
475	12863	14160
476	12888	14131
477	12912	14101
478	12936	14070
479	12963	14043
480	12990	14016
481	13018	13990
482	13043	13961
483	13068	13932
484	13096	13906
485	13120	13876
486	13148	13850
487	13178	13826
488	13210	13804
489	13237	13777
490	13265	13751
491	13294	13726
492	13327	13705
493	13357	13681
494	13386	13656
495	13415	13631
496	13439	13602
497	13468	13576
498	13500	13554
499	13529	13529
500	13553	13499
501	13590	13482
502	13619	13456
503	13647	13430
504	13675	13404
505	13702	13377
506	13727	13348
507	13756	13323
508	13786	13298
509	13810	13269
510	13839	13243
511	13870	13220
512	13904	13200
513	13929	13170
514	13954	13141
515	13980	13113
516	14008	13087
517	14036	13060
518	14065	13035
519	14095	13011
520	14125	12986
521	14155	12962
522	14179	12932
523	14208	12906
524	14240	12884
525	14263	12853
526	14294	12829
527	14325	12806
528	14350	12776
529	14378	12750
530	14402	12720
531	14433	12696
532	14462	12671
533	14488	12643
534	14511	12613
535	14541	12588
536	14568	12561
537	14595	12533
538	14625	12508
539	14654	12483
540	14677	12452
541	14708	12428
542	14737	12402
543	14763	12374
544	14788	12346
545	14817	12320
546	14846	12295
547	14873	12268
548	14900	12240
549	14926	12212
550	14951	12183
551	14975	12153
552	15001	12126
553	15026	12097
554	15057	12072
555	15086	12047
556	15111	12018
557	15136	11990
558	15166	11965
559	15205	11947
560	15240	11926
561	15268	11899
562	15297	11874
563	15329	11850
564	15359	11825
565	15388	11800
566	15415	11772
567	15440	11743
568	15464	11713
569	15491	11686
570	15517	11658
571	15549	11634
572	15579	11609
573	15607	11583
574	15637	11558
575	15662	11529
576	15691	11503
577	15723	11479
578	15751	11453
579	15778	11426
580	15804	11397
581	15830	11369
582	15858	11342
583	15888	11317
584	15918	11292
585	15947	11266
586	15977	11241
587	16008	11216
588	16035	11189
589	16068	11166
590	16096	11139
591	16128	11115
592	16154	11087
593	16187	11063
594	16214	11037
595	16243	11010
596	16275	10986
597	16314	10967
598	16344	10941
599	16374	10916
600	16403	10890
601	16427	10861
602	16454	10833
603	16483	10807
604	16508	10778
605	16535	10750
606	16564	10724
607	16594	10698
608	16622	10672
609	16648	10644
610	16673	10615
611	16697	10586
612	16722	10557
613	16746	10528
614	16775	10501
615	16804	10475
616	16830	10447
617	16858	10420
618	16882	10391
619	16907	10362
620	16931	10333
621	16959	10306
622	16983	10277
623	17010	10250
624	17035	10221
625	17058	10191
626	17090	10167
627	17116	10139
628	17146	10113
629	17173	10086
630	17202	10060
631	17229	10032
632	17264	10009
633	17290	9981
634	17316	9953
635	17343	9926
636	17374	9901
637	17403	9874
638	17430	9847
639	17458	9820
640	17488	9794
641	17518	9768
642	17547	9742
643	17576	9716
644	17602	9688
645	17626	9659
646	17653	9631
647	17679	9603
648	17707	9576
649	17733	9549
650	17758	9520
651	17787	9494
652	17820	9469
653	17849	9443
654	17876	9416
655	17906	9389
656	17931	9361
657	17960	9335
658	17990	9309
659	18022	9284
660	18050	9257
661	18078	9230
662	18105	9202
663	18134	9176
664	18166	9151
665	18195	9125
666	18224	9098
667	18254	9072
668	18282	9045
669	18310	9018
670	18337	8990
671	18362	8962
672	18390	8935
673	18417	8907
674	18446	8881
675	18475	8855
676	18502	8827
677	18530	8800
678	18558	8773
679	18586	8746
680	18615	8719
