iter	RMSE
133	39.77292135
134	39.77001377
135	39.75603346
136	39.75084308
137	39.72993298
138	39.72623624
139	39.71849339
140	39.71208642
141	39.70859875
142	39.70110982
143	39.69339528
144	39.68932899
145	39.68267398
146	39.67510271
147	39.67129878
148	39.66759824
149	39.66312974
150	39.6592854
151	39.6542578
152	39.65287972
153	39.64331736
154	39.63554344
155	39.6354948
156	39.6332833
157	39.62515445
158	39.62111018
159	39.60828092
160	39.60298017
161	39.60179122
162	39.59147781
163	39.58779609
164	39.57900596
165	39.57535994
166	39.55864693
167	39.55625572
168	39.55141377
169	39.53967952
170	39.53466082
171	39.53020645
172	39.52440095
173	39.52219577
174	39.51764881
175	39.51141347
176	39.50627076
177	39.50441881
178	39.49893307
179	39.49424223
180	39.48435999
181	39.47553873
182	39.47185455
183	39.46715332
184	39.45859985
185	39.45031002
186	39.44198663
187	39.43839727
188	39.43453445
189	39.43006394
190	39.42390695
191	39.41553975
192	39.41393998
193	39.41334255
194	39.40970482
195	39.39889366
196	39.39212799
197	39.38573532
198	39.38428893
199	39.37436159
200	39.36632537
201	39.35941946
202	39.35556047
203	39.34987533
204	39.34311514
205	39.33211356
206	39.32861185
207	39.32539372
208	39.31883534
209	39.31622384
210	39.31120882
211	39.30652404
212	39.29820738
213	39.29003231
214	39.28575822
215	39.28079191
216	39.27613305
217	39.27040821
218	39.26206932
219	39.25671956
220	39.25135664
221	39.23928779
222	39.2341262
223	39.22753976
224	39.2172598
225	39.21537339
226	39.20481666
227	39.18848408
228	39.18311903
229	39.17913109
230	39.17412802
231	39.1681375
232	39.15751896
233	39.1501926
234	39.14628067
235	39.14379803
236	39.13828023
237	39.13610478
238	39.13377723
239	39.1275197
240	39.12071671
241	39.11632777
242	39.11442797
243	39.1006083
244	39.09863074
245	39.0970674
246	39.09588726
247	39.09159054
248	39.08480482
249	39.07944301
250	39.07104909
251	39.06279361
252	39.05642771
253	39.04935841
254	39.04246215
255	39.04005197
256	39.02947969
257	39.0248844
258	39.01607642
259	39.01401394
260	39.0096737
261	39.00742046
262	39.00362094
263	39.00186078
264	38.99993533
265	38.9947578
266	38.98890487
267	38.98495289
268	38.98147643
269	38.97836381
270	38.97591545
271	38.97207963
272	38.96895151
273	38.96547568
274	38.95843923
275	38.95486771
276	38.94845986
277	38.94732368
278	38.94516167
279	38.94255982
280	38.94109125
281	38.93442414
282	38.93291477
283	38.93075235
284	38.92390816
285	38.9207138
286	38.9163367
287	38.91042103
288	38.90508846
289	38.89853052
290	38.89430728
291	38.88783813
292	38.88671834
293	38.87855593
294	38.87635234
295	38.87393689
296	38.87025286
297	38.86823064
298	38.8656532
299	38.86368562
300	38.85995081
301	38.85484763
302	38.85435602
303	38.85146943
304	38.84306991
305	38.83759067
306	38.83445061
307	38.83323585
308	38.82790587
309	38.8266424
310	38.82508757
311	38.8225252
312	38.82045083
313	38.81443268
314	38.8078012
315	38.80114225
316	38.79617583
317	38.79488581
318	38.79284767
319	38.78041778
320	38.77808677
321	38.77687524
322	38.77556072
323	38.7752709
324	38.76869757
325	38.76105923
326	38.75407386
327	38.74787125
328	38.74672514
329	38.74360705
330	38.73901449
331	38.73658307
332	38.73447373
333	38.72862809
334	38.72702888
335	38.72345469
336	38.71572082
337	38.71233984
338	38.70848822
339	38.70555469
340	38.7030807
341	38.6992488
342	38.69103869
343	38.68441272
344	38.68170705
345	38.67979861
346	38.67647338
347	38.66827745
348	38.66706536
349	38.66151429
350	38.65928911
351	38.65469255
352	38.65114785
353	38.64758444
354	38.64416512
355	38.64218485
356	38.6379365
357	38.63422281
358	38.62805442
359	38.62255147
360	38.61734968
361	38.61147926
362	38.59919611
363	38.5928095
364	38.58935637
365	38.5860541
366	38.58124794
367	38.57835306
368	38.57579126
369	38.5757552
370	38.57278585
371	38.57157484
372	38.56590601
373	38.56139093
374	38.55649621
375	38.55540353
376	38.55082522
377	38.54249531
378	38.54079193
379	38.53929855
380	38.53794771
381	38.53685137
382	38.53625629
383	38.53259916
384	38.53062509
385	38.52863746
386	38.52370358
387	38.51798547
388	38.51370424
389	38.50910798
390	38.50723567
391	38.5049666
392	38.50218466
393	38.49761847
394	38.49754855
395	38.49483505
396	38.49298316
397	38.48814533
398	38.48675965
399	38.48535809
400	38.48481252
401	38.48320971
402	38.48160994
403	38.47950695
404	38.47442518
405	38.47143716
406	38.46950033
407	38.46712198
408	38.46501133
409	38.4638449
410	38.46051908
411	38.45635515
412	38.45188469
413	38.44758501
414	38.44308154
415	38.44018244
416	38.4400809
417	38.43294303
418	38.43176607
419	38.42974979
420	38.42297826
421	38.41665826
422	38.41520977
423	38.41134907
424	38.40912388
425	38.40636259
426	38.40626666
427	38.40455161
428	38.3993446
429	38.3990372
430	38.39688886
431	38.39316758
432	38.39128635
433	38.38695081
434	38.38403477
435	38.38074339
436	38.37754371
437	38.3738556
438	38.37132068
439	38.37011224
440	38.36937419
441	38.36856431
442	38.36386271
443	38.35889518
444	38.35677325
445	38.35512156
446	38.35345712
447	38.35193367
448	38.35038294
449	38.34529046
450	38.33731551
451	38.33093431
452	38.32979108
453	38.32369506
454	38.32116821
455	38.31702081
456	38.31558929
457	38.31140222
458	38.30925159
459	38.30789948
460	38.30368329
461	38.30213121
462	38.29727361
463	38.2960711
464	38.29209488
465	38.28803904
466	38.28631131
467	38.28177201
468	38.28169704
469	38.27799275
470	38.26986083
471	38.26729652
472	38.2651341
473	38.26376078
474	38.26249752
475	38.26091197
476	38.25475514
477	38.25363985
478	38.25032287
479	38.2456183
480	38.24422005
481	38.24242792
482	38.23983719
483	38.23057687
484	38.22748055
485	38.22162028
486	38.21965794
487	38.21517464
488	38.21314167
489	38.2104621
490	38.20963888
491	38.20761283
492	38.20382693
493	38.20173197
494	38.20022927
495	38.19739887
496	38.19483253
497	38.19036206
498	38.18962908
499	38.18755548
500	38.18432649
501	38.18073532
502	38.17690262
503	38.1741787
504	38.17226499
505	38.16912397
506	38.16586141
507	38.16373281
508	38.15925942
509	38.15642615
510	38.15592875
511	38.1526958
512	38.14971989
513	38.1440497
514	38.14317951
515	38.14109861
516	38.13935587
517	38.13411907
518	38.13082435
519	38.12998935
520	38.12938763
521	38.12780001
522	38.12315307
523	38.12180307
524	38.11785307
525	38.11479158
526	38.1140558
527	38.11319143
528	38.10938394
529	38.10822661
530	38.10666861
531	38.10408956
532	38.1005148
533	38.09722662
534	38.09680684
535	38.09067287
536	38.08635002
537	38.08455646
538	38.08164562
539	38.07991634
540	38.07892345
541	38.07730485
542	38.07289813
543	38.06891047
544	38.06720784
545	38.06538055
546	38.06111516
547	38.05862313
548	38.05733705
549	38.05382327
550	38.05289207
551	38.05173558
552	38.04905235
553	38.0445325
554	38.03993367
555	38.03721148
556	38.03546116
557	38.03302177
558	38.0321045
559	38.0252254
560	38.02175602
561	38.01966729
562	38.0150691
563	38.01151859
564	38.00875602
565	38.00683804
566	38.00415005
567	37.99856524
568	37.9965021
569	37.99481569
570	37.9939746
571	37.99011232
572	37.98723935
573	37.98448267
574	37.98224609
575	37.97593671
576	37.97328942
577	37.96754422
578	37.9637137
579	37.96223245
580	37.95950239
581	37.95778772
582	37.95617749
583	37.95553435
584	37.95306352
585	37.95156296
586	37.94637454
587	37.94376971
588	37.94105751
589	37.93908171
590	37.93874814
591	37.9376134
592	37.93321137
593	37.93035846
594	37.92835032
595	37.92726268
596	37.92527399
597	37.92426867
598	37.92082775
599	37.91948805
600	37.91614296
601	37.91400152
602	37.90248764
603	37.90056846
604	37.89932799
605	37.89199278
606	37.89088796
607	37.88935426
608	37.88597274
609	37.88312146
610	37.88133633
611	37.87974015
612	37.8740672
613	37.87124705
614	37.86706452
615	37.86360768
616	37.86181787
617	37.86068079
618	37.85993412
619	37.85597237
620	37.85479223
621	37.851511
622	37.84892111
623	37.846209
624	37.84434755
625	37.84193013
626	37.83955942
627	37.83843797
628	37.83706321
629	37.83523982
630	37.83164863
631	37.83057168
632	37.82857494
633	37.82834346
634	37.82676144
635	37.82436887
636	37.8202881
637	37.81864651
638	37.8147036
639	37.8130343
640	37.81016045
641	37.80859304
642	37.8058624
643	37.80496878
644	37.80284701
645	37.80122268
646	37.79669773
647	37.79454029
648	37.79314566
649	37.79146879
650	37.78709516
651	37.78438162
652	37.78246664
653	37.78153853
654	37.78094285
655	37.77712103
656	37.77646341
657	37.77228894
658	37.77135689
659	37.76969185
660	37.76698393
661	37.76640292
662	37.76561487
663	37.76490119
664	37.76383045
665	37.7626136
666	37.76134361
667	37.75954932
668	37.75727256
669	37.75617048
670	37.75550344
671	37.74955868
672	37.74793692
673	37.74339103
674	37.74199695
675	37.73990716
676	37.73867984
677	37.73589871
678	37.7326238
679	37.72931632
680	37.72781624
681	37.72541094
682	37.72349453
683	37.72293452
684	37.71896538
685	37.71785276
686	37.71731719
687	37.71587394
688	37.71425765
689	37.71131074
690	37.70780715
691	37.70563619
692	37.70414713
693	37.70281477
694	37.70122031
695	37.69886591
696	37.69529171
697	37.68922449
698	37.68798513
699	37.68540096
700	37.68138046
701	37.68054636
702	37.67783417
703	37.66904209
704	37.66650391
705	37.66322152
706	37.66220548
707	37.65722715
708	37.65498534
709	37.65397381
710	37.65118263
711	37.64856396
712	37.64671943
713	37.64331388
714	37.64233471
715	37.63979753
716	37.63894838
717	37.63598398
718	37.63500767
719	37.63444927
720	37.63321903
721	37.63057881
722	37.62701859
723	37.62471214
724	37.6239433
725	37.62097218
726	37.61481259
727	37.61235534
728	37.6114537
729	37.60952934
730	37.60781142
731	37.60509633
732	37.60339249
733	37.60302405
734	37.60003822
735	37.59846865
736	37.59709904
737	37.59448652
738	37.59316131
739	37.59269937
740	37.58832964
741	37.58685628
742	37.58080924
743	37.5804614
744	37.57968883
745	37.57751139
746	37.57659763
747	37.57628247
748	37.57487799
749	37.57316878
750	37.57012702
751	37.5675851
752	37.56551968
753	37.56451664
754	37.56390449
755	37.56253371
756	37.55839197
757	37.55173246
758	37.54968682
759	37.54763227
760	37.54402965
761	37.54292066
762	37.54159716
763	37.54050904
764	37.53793261
765	37.53652778
766	37.53275186
767	37.53119668
768	37.52999244
769	37.52926242
770	37.52575472
771	37.52229644
772	37.51737656
773	37.51518591
774	37.51498713
775	37.51247163
776	37.51112016
777	37.51039712
778	37.50856553
779	37.50677175
780	37.50458938
781	37.50235287
782	37.49662318
783	37.49616346
784	37.49543743
785	37.49163134
786	37.49018897
787	37.48709836
788	37.48656146
789	37.48516646
790	37.48295171
791	37.48218583
792	37.48173399
793	37.48036773
794	37.47762546
795	37.47723626
796	37.47473598
797	37.47384203
798	37.47093418
799	37.4662086
800	37.4620128
801	37.45751262
802	37.45643243
803	37.45310118
804	37.45226118
805	37.45083091
806	37.44727005
807	37.44416421
808	37.44082498
809	37.43585443
810	37.43508501
811	37.43447103
812	37.43174923
813	37.43021462
814	37.42866957
815	37.42805493
816	37.42548113
817	37.4223523
818	37.42024892
819	37.41713941
820	37.41693828
821	37.41650165
822	37.41446605
823	37.41356522
824	37.41034176
825	37.4087086
826	37.40847648
827	37.40666382
828	37.40583993
829	37.40280518
830	37.40169331
831	37.39980635
832	37.39916808
833	37.39721128
834	37.39687154
835	37.39644376
836	37.39247465
837	37.39122243
838	37.39058545
839	37.39036028
840	37.3891084
841	37.38813007
842	37.3856201
843	37.38526566
844	37.38260564
845	37.38066635
846	37.37982889
847	37.37682948
848	37.37436261
849	37.3739688
850	37.37329689
851	37.37107734
852	37.36898998
853	37.36440929
854	37.36261374
855	37.35925963
856	37.3580657
857	37.35735897
858	37.35681798
859	37.35634466
860	37.35289137
861	37.35090828
862	37.34621712
863	37.34395674
864	37.34254342
865	37.34233966
866	37.33882787
867	37.33529176
868	37.33316283
869	37.33160015
870	37.32865735
871	37.3283286
872	37.32348605
873	37.32324752
874	37.32179821
875	37.31772339
876	37.31364603
877	37.31226177
878	37.30700306
879	37.3058314
880	37.30488812
881	37.30381402
882	37.30343571
883	37.30276232
884	37.30230717
885	37.3012805
886	37.30093044
887	37.29826145
888	37.29693
889	37.2960354
890	37.29511236
891	37.29272511
892	37.28897113
893	37.28770972
894	37.28480573
895	37.28096912
896	37.27930084
897	37.27813316
898	37.27661534
899	37.26966394
900	37.26944303
901	37.26734609
902	37.26527739
903	37.26359129
904	37.26320006
905	37.26239865
906	37.2607896
907	37.25996465
908	37.25740278
909	37.25467131
910	37.25389787
911	37.25247708
912	37.25116316
913	37.2499144
914	37.2492343
915	37.24651215
916	37.24467682
917	37.24223665
918	37.23936366
919	37.2382604
920	37.2373291
921	37.23626154
922	37.23336382
923	37.23144668
924	37.22687509
925	37.22466994
926	37.22367858
927	37.22154103
928	37.21980979
929	37.21866497
930	37.21413341
931	37.21340311
932	37.21157296
933	37.21064817
934	37.20659843
935	37.19859786
936	37.19752905
937	37.19731822
938	37.19672384
939	37.19579333
940	37.19465372
941	37.19315673
942	37.18961759
943	37.18407959
944	37.17993497
945	37.17330926
946	37.17169877
947	37.17121417
948	37.16657246
949	37.1656833
950	37.16495379
951	37.16345971
952	37.16234548
953	37.16104592
954	37.15965922
955	37.15687882
956	37.15630892
957	37.15215554
958	37.15096466
959	37.14993361
960	37.14954207
961	37.1455782
962	37.14387306
963	37.14285449
964	37.1390603
965	37.138186
966	37.13733898
967	37.13642421
968	37.13551173
969	37.13233618
970	37.12994652
971	37.12806352
972	37.12702531
973	37.12326897
974	37.12173012
975	37.11950079
976	37.11838399
977	37.11492851
978	37.11411852
979	37.11393759
980	37.11349269
981	37.11200596
982	37.11123667
983	37.10947783
984	37.10523807
985	37.10074918
986	37.0996308
987	37.09791161
988	37.09760815
989	37.0951157
990	37.09356718
991	37.09028523
992	37.08925472
993	37.08831859
994	37.08578784
995	37.08377368
996	37.08323862
997	37.08165927
998	37.08068404
999	37.07903842
